county,state,lat,lon,total_population,population_density_per_sqmi,percent_fair_or_poor_health,percent_smokers,percent_adults_with_obesity,percent_physically_inactive,percent_excessive_drinking,teen_birth_rate,percent_uninsured,high_school_graduation_rate,percent_some_college,labor_force,percent_children_in_poverty,social_association_rate,violent_crime_rate,percent_severe_housing_problems,overcrowding,inadequate_facilities,life_expectancy,percent_frequent_physical_distress,percent_frequent_mental_distress,percent_adults_with_diabetes,percent_food_insecure,percent_insufficient_sleep,average_grade_performance,median_household_income,percent_enrolled_in_free_or_reduced_lunch,average_traffic_volume_per_meter_of_major_roadways,percent_homeowners,percent_severe_housing_cost_burden,percent_less_than_18_years_of_age,percent_65_and_over,percent_not_proficient_in_english,percent_female,percent_rural,per_capita_income,percentile_rank_below_poverty,percentile_rank_unemployed,percentile_rank_per_capita_income,percentile_rank_no_highschool_diploma,percentile_rank_socioeconomic_theme,percentile_rank_age_65_and_older,percentile_rank_age_17_and_younger,percentile_rank_disabled,percentile_rank_single_parent_households,percentile_rank_household_comp_disability_theme,percentile_rank_minorities,percentile_rank_limited_english_abilities,percentile_rank_minority_status_and_language_theme,percentile_rank_multi_unit_housing,percentile_rank_mobile_homes,percentile_rank_overcrowding,percentile_rank_no_vehicle,percentile_rank_institutionalized_in_group_quarters,percentile_rank_housing_and_transportation,percentile_rank_social_vulnerability,mean_winter_temp,mean_summer_temp,cluster
Montgomery,Illinois,39.23104017,-89.47889222,29301,41.63929949,15.43920651,16.11002039,31.0,27.3,20.0189026,24.3449173,5.981441827,86.09666395,54.97536946,11891,20.1,14.93574158,132.0532496,9.74745237,1.240584847,1.240584847,77.25696356,11.10003995,12.00063514,12.4,12.1,31.24078225,2.989294905,53138.0,51.0693302,61.97650381,77.09674575,8.451364788,20.06573197,20.1531415,0.261172374,47.6137198,41.62237576,21072.0,0.4811,0.3422,0.7469,0.5645,0.5517,0.6243,0.2034,0.4107,0.7052,0.4269,0.397,0.0716,0.192,0.4492,0.3862,0.2512,0.5193,0.9774,0.5282,0.439,34.72727273,74.74392857,2
Morgan,Illinois,39.7155671,-90.20147724,34801,61.18281796,15.91118254,16.13652531,32.1,25.9,19.54769868,24.750499,5.221817016,77.68716418,60.08936119,16309,23.1,14.49789928,169.0259878,11.45342515,1.087350489,1.123595506,77.63238902,10.92691591,12.18608424,14.6,12.0,31.59957525,3.195795384,48976.0,51.10159119,81.55134002,67.83756492,11.29321958,18.86037203,20.01118437,0.42265168,49.2376972,36.22809239,25201.0,0.4575,0.5552,0.4311,0.2416,0.412,0.6243,0.1862,0.4107,0.689,0.4046,0.3846,0.3744,0.3566,0.8112,0.3212,0.1929,0.6425,0.9363,0.7042,0.4623,33.85327273,75.11934426,2
Moultrie,Illinois,39.6414236,-88.6193077,14915,44.39740347,14.60219678,15.69626036,24.8,24.2,20.26807918,16.95457454,8.030979039,96.06444906,63.98467433,7524,13.4,13.61655773,209.4588798,10.5081826,2.583979328,2.153316107,78.39913731,10.54007663,11.97770658,4.9,9.8,29.95628085,3.186771084,59901.0,46.68571429,86.74208712,77.59729272,7.257924822,25.40599307,18.9033091,0.386663748,51.04980635,69.23750505,25351.0,0.2732,0.148,0.4164,0.6479,0.3416,0.659,0.7835,0.1337,0.3645,0.4241,0.0223,0.3117,0.121,0.4795,0.2302,0.6969,0.9093,0.5925,0.7065,0.3515,34.89071253,76.27147541,2
Ogle,Illinois,42.0426525,-89.32067405,52034,68.59419791,15.00177314,15.02807548,37.1,28.2,20.17814192,17.85412083,6.64981341,94.19279216,63.32539142,25289,11.2,14.49190216,71.13422292,12.58421559,1.684311838,0.601539942,78.80497729,10.31708717,11.49262335,7.3,9.0,29.4699161,3.278989588,61794.0,34.63213385,83.20720412,73.91512368,10.1550158,22.42601575,18.74791352,2.402687053,50.33285549,47.09983737,28026.0,0.2003,0.4502,0.249,0.4257,0.2948,0.4782,0.5791,0.2114,0.4715,0.2859,0.4222,0.7797,0.6186,0.6087,0.1659,0.4327,0.3986,0.1789,0.1719,0.2617,30.75279334,75.03737705,0
Peoria,Illinois,40.78806447,-89.75998456,186818,301.7138796,15.62308231,16.59556525,35.9,22.0,19.00361065,34.72533698,6.320635688,82.22708495,71.20120308,87398,22.8,13.87894717,523.7788085,13.85849745,1.591406405,0.749287183,77.38472063,10.98781786,12.02428097,10.7,14.3,31.57035317,2.874956761,56478.0,49.79039363,238.5219006,65.07490255,12.83578307,23.59581666,17.06113907,1.358491445,51.54660865,14.64551138,29055.0,0.5536,0.6813,0.191,0.2773,0.4158,0.2639,0.6928,0.1445,0.7867,0.3887,0.6925,0.6065,0.6765,0.9265,0.063,0.3941,0.8848,0.6418,0.7077,0.5511,31.95952061,76.17409836,1
Perry,Illinois,38.08377711,-89.36698605,21595,48.88262065,15.28088909,16.14586717,32.1,26.4,20.70729155,32.49590388,5.660877635,91.44970131,46.65723382,8456,23.4,25.36997886,131.4940111,12.91718171,0.729295427,1.174289246,78.06601326,10.7557966,11.58021067,11.5,12.5,31.8330726,2.979042736,49965.0,48.89992903,94.40731215,74.94893668,10.58160389,19.38698404,18.63134032,0.093748458,44.93718712,43.64205817,22650.0,0.5234,0.4616,0.6262,0.6125,0.5785,0.4909,0.1614,0.5559,0.6578,0.3738,0.4511,0.1229,0.2509,0.7151,0.5699,0.0876,0.4187,0.9395,0.6052,0.4846,35.65272727,77.08983607,2
Piatt,Illinois,40.01034967,-88.59110974,16469,37.50029948,11.97634425,13.4295471,25.2,22.2,21.38773778,15.01743095,4.736170532,92.54761905,72.91005291,8430,8.2,14.59410155,167.1841414,7.657657658,0.345345345,0.900900901,79.34291341,9.117349345,10.58561002,19.0,7.5,28.88041339,3.307752698,67460.0,33.94379539,42.4584098,81.76119403,6.530984204,22.54818248,19.35838009,0.084033613,50.44523054,67.66094805,33197.0,0.015,0.4241,0.0809,0.0229,0.0684,0.5944,0.5154,0.1404,0.1812,0.1344,0.0497,0.0786,0.0302,0.3855,0.1229,0.0261,0.0372,0.0433,0.0032,0.0029,34.24188425,74.41770492,0
Pike,Illinois,39.622509,-90.88630314,16054,19.30959223,16.5517029,16.71050823,29.8,32.1,19.27030181,30.86223354,7.148760331,83.00920245,53.3768445,7256,19.6,11.37728336,94.02914904,9.826152683,1.11866969,1.133786848,76.81250557,11.41702049,12.60581429,8.7,11.1,30.07038436,2.964207521,47815.0,52.66084194,54.41693259,78.22889536,7.945643485,22.33040805,20.95317404,0.182518759,49.84946512,72.30675593,22048.0,0.4155,0.4616,0.6749,0.454,0.5158,0.7377,0.4556,0.581,0.3457,0.5871,0.1108,0.0923,0.0605,0.1219,0.4101,0.178,0.4537,0.7122,0.2012,0.2849,33.92654545,75.81344262,2
Pope,Illinois,37.41270136,-88.5615292,4255,11.53836494,14.55316272,14.57587561,26.6,22.5,18.62900511,28.71410737,7.548430194,85.7,54.01360544,1751,27.1,20.80924856,154.3954999,9.433962264,1.257861635,0.628930818,79.21857793,10.40540586,11.62673723,9.5,11.2,30.09588617,2.788469679,43053.0,56.39097744,2.935998209,85.0973236,8.871493803,12.1320038,27.9677113,0.0,48.29059829,100.0,21427.0,0.4508,0.7163,0.723,0.5002,0.6275,0.9583,0.0522,0.9873,0.1095,0.5753,0.3324,0.0,0.1203,0.0936,0.8348,0.2337,0.5033,0.8704,0.4995,0.4776,36.01254545,74.47111111,2
Pulaski,Illinois,37.22288954,-89.12658824,5792,29.07846835,21.1744064,19.37142409,34.6,22.9,15.8162163,42.45709124,7.451810061,95.17438017,57.40281224,2055,33.4,23.59774914,351.094589,12.91028446,0.875273523,1.750547046,76.26606881,13.37961107,14.07663146,19.6,17.1,35.02528673,2.434029497,38400.0,83.27228327,8.349575974,74.82742752,11.86440678,21.5815486,22.40527183,0.151000378,51.40032949,100.0,18924.0,0.6651,0.9325,0.8851,0.7135,0.8593,0.7676,0.4912,0.9599,0.1706,0.7759,0.774,0.2216,0.4982,0.3725,0.8138,0.1114,0.957,0.0427,0.376,0.738,35.94127273,77.81114754,1
Putnam,Illinois,41.204469,-89.28584768,5746,35.8765202,12.90222948,13.63129888,26.0,19.6,20.48021002,15.09433962,5.846501129,84.7,59.31208054,3040,12.5,0.0,11.56470452,9.016393443,1.18852459,0.409836066,78.73779359,9.427964918,10.80654759,5.7,8.3,29.40345543,3.164415309,66319.0,34.94809689,10.56031335,80.5427975,7.211961302,20.05226481,22.61324042,1.144622093,49.07665505,100.0,32584.0,0.1678,0.3531,0.0885,0.1847,0.1496,0.7593,0.2124,0.1789,0.2569,0.1264,0.2627,0.6014,0.4206,0.0277,0.219,0.2127,0.042,0.0185,0.0013,0.0213,31.50315698,75.83471698,0
Randolph,Illinois,38.05214073,-89.82532905,32934,57.22647905,16.01917104,17.19819368,27.2,26.8,20.1326333,32.32073472,5.493967321,87.71135092,47.96645221,14202,17.8,20.97276625,97.46910725,8.777824444,0.915581688,0.58798824,77.16585075,10.84932152,11.62140387,13.6,11.1,31.37372564,2.981967834,53607.0,48.72110182,85.13469607,75.69274825,6.170550848,19.32037625,18.60088457,0.397800776,45.00716377,42.64249014,23424.0,0.2127,0.2719,0.5642,0.6304,0.4088,0.4909,0.1385,0.483,0.4642,0.1996,0.4795,0.2022,0.3053,0.2518,0.5737,0.1414,0.3473,0.9513,0.3572,0.2843,35.52872727,77.08983607,2
Richland,Illinois,38.71239866,-88.08511317,16072,44.64212206,16.57163833,16.86683598,28.1,21.8,18.94589724,34.44782168,6.342898021,91.7,65.17317207,7455,20.9,18.86673794,333.6035418,9.689922481,1.550387597,1.317829457,77.13714677,11.66480273,12.81267808,13.3,11.5,30.61030989,2.614069655,48152.0,53.50398657,39.00279966,71.72169084,8.208353491,23.26968217,20.47833534,0.478953049,50.52337753,43.46701164,23972.0,0.4362,0.3298,0.5231,0.4951,0.4403,0.7377,0.5288,0.6991,0.383,0.7523,0.0987,0.0805,0.0471,0.5629,0.5046,0.4085,0.6425,0.5078,0.5482,0.398,35.51727273,76.50393443,2
Rock Island,Illinois,41.4673262,-90.56738489,146536,342.8067458,17.0094104,16.5978529,33.7,22.3,20.27725642,32.62023484,6.742918527,92.54257729,64.38651176,71847,21.9,12.84459422,346.5146119,13.66056572,2.229617305,0.948419301,78.1807584,10.86900824,11.95019503,14.1,11.2,32.81076967,2.715913348,52642.0,56.19009046,204.8330335,68.65028029,11.60706695,22.2774382,19.28671494,2.50856026,50.73774891,10.91998428,26893.0,0.4635,0.6205,0.313,0.4021,0.4435,0.5237,0.4788,0.2662,0.7959,0.539,0.6628,0.8383,0.8001,0.8911,0.134,0.6059,0.7835,0.6915,0.8036,0.6676,30.87752061,75.63704918,1
Saline,Illinois,37.75319887,-88.5408089,24659,64.92173997,17.85851737,18.73181196,27.1,35.6,18.13006134,47.22096701,7.053742802,87.89246101,66.37931035,9879,29.7,19.91535972,345.6446599,13.33666334,2.147852148,0.4995005,73.77488849,12.28268614,13.51675773,11.2,14.3,31.63232307,2.909301215,40761.0,58.1920904,111.7208,72.3855229,12.68282491,21.66820045,20.26687861,0.746957248,50.64418974,43.66395055,21917.0,0.8364,0.9446,0.6858,0.5603,0.8112,0.6753,0.3935,0.8707,0.7227,0.9061,0.3056,0.5345,0.4056,0.4381,0.6138,0.5657,0.8322,0.5565,0.7533,0.8309,35.93363636,76.15185185,1
Sangamon,Illinois,39.75817299,-89.65888305,198639,228.7673111,15.74953111,16.90159599,30.6,23.6,20.28360572,25.54988311,5.457399885,85.27777517,70.76832797,104949,20.0,19.03772932,814.5215174,13.23086197,1.398432791,0.669077758,78.02181254,10.82071163,12.2249557,11.2,12.6,32.69653258,2.954481248,62242.0,45.27126591,216.4854853,68.91024492,12.90788299,22.18963081,17.85889797,0.373715354,52.01333006,14.12655407,31904.0,0.469,0.5947,0.0996,0.1426,0.2907,0.3225,0.553,0.3445,0.7428,0.4444,0.5571,0.3442,0.439,0.843,0.2346,0.3082,0.766,0.5317,0.5788,0.3855,33.81234889,76.57311475,1
Schuyler,Illinois,40.15803606,-90.61508532,7205,16.47713001,15.73563351,16.45989113,25.9,21.9,18.9306833,24.78134111,6.837294333,88.0,64.95726496,3334,14.9,17.0575693,139.7428731,4.222972973,0.641891892,0.506756757,75.63520533,11.05456987,12.1732202,14.7,13.0,31.34334526,3.033544328,52018.0,39.6795476,47.12270332,76.4809591,4.629294756,18.16997249,22.78847546,1.256652868,47.53148979,57.63520679,24323.0,0.7558,0.4094,0.4938,0.3919,0.5272,0.7211,0.1054,0.6743,0.7584,0.6877,0.2178,0.3228,0.2321,0.2633,0.5342,0.0544,0.0621,0.9475,0.1958,0.3604,33.53018182,73.66786885,2
Scott,Illinois,39.64412763,-90.47470403,5169,20.60078875,15.15132631,16.01112478,28.2,25.6,19.32669499,17.62114537,5.01497006,95.43209877,52.1978022,2481,15.0,13.99440224,27.92126204,9.330143541,1.339712919,0.717703349,76.85299361,10.90621861,12.23491958,13.7,11.3,29.83397103,2.912493627,55198.0,48.15256257,18.53879347,78.20316488,7.131452901,21.57937475,19.87413723,0.166597251,50.58871295,100.0,25568.0,0.4508,0.8259,0.4015,0.1356,0.4489,0.6686,0.5046,0.1337,0.5403,0.3601,0.0242,0.2295,0.0802,0.0395,0.4578,0.3072,0.5033,0.148,0.0764,0.1684,33.94327273,76.38827586,2
Shelby,Illinois,39.39112609,-88.80559467,22011,29.01776704,14.99488796,15.60828073,32.3,25.5,19.24383165,28.8248337,5.083540704,93.46118722,59.48512344,10725,13.3,17.03577513,51.85227862,8.627238199,1.345632122,0.976668475,80.43470828,10.83262191,12.05398235,11.3,9.8,29.67670576,3.292534722,56509.0,45.18438955,54.68594524,80.23470607,8.226918296,21.35136378,22.52426291,0.111363967,50.25527805,77.73107365,23974.0,0.3244,0.3018,0.5224,0.1356,0.2818,0.7791,0.3744,0.2114,0.3569,0.2738,0.0159,0.1032,0.0287,0.3715,0.5116,0.2964,0.2496,0.1554,0.1076,0.0952,34.88453071,75.89766667,0
St. Clair,Illinois,38.4703081,-89.92839417,265569,403.7360948,17.55936737,17.63409496,37.1,31.4,20.29093052,29.59679482,6.179024716,88.17864201,67.37177032,127192,22.0,11.08660121,615.2203185,15.02873283,1.568130905,0.74997565,76.47446591,11.57651995,12.40530894,9.8,15.5,34.50071602,2.85964104,58222.0,49.89411956,182.5253798,64.92630721,13.96644667,23.39432849,15.80523943,0.702353065,51.75841476,9.754643481,27683.0,0.6227,0.6937,0.269,0.2639,0.4613,0.1818,0.7182,0.2595,0.9089,0.5422,0.7867,0.4234,0.6218,0.7558,0.2709,0.3855,0.872,0.3422,0.5486,0.5435,35.16690909,77.40983607,1
Stark,Illinois,41.09333242,-89.7975205,5840,20.27221703,14.79505682,15.85907311,25.5,24.0,19.19490815,23.31002331,6.280644408,90.9,54.22535211,2587,17.2,18.40264998,40.73319756,9.243697479,1.218487395,0.588235294,76.68287045,10.74877057,12.13251177,6.3,11.1,29.24581917,3.322346425,52651.0,42.95532646,18.80356021,80.25283348,8.927749655,21.50359315,22.29592777,0.077071291,50.48829925,100.0,28545.0,0.354,0.5116,0.2194,0.4664,0.3671,0.923,0.3104,0.5718,0.192,0.4709,0.0595,0.1114,0.0436,0.0,0.1605,0.1757,0.234,0.4416,0.0178,0.0968,31.49933879,76.17409836,0
Stephenson,Illinois,42.35172404,-89.66236988,46283,81.9822653,16.52765326,16.16315354,34.0,25.0,18.24828708,28.62043091,6.287029048,81.76949868,66.61968777,21904,20.9,15.09299951,127.64783,12.51596424,0.664112388,1.22605364,79.06087328,11.42189126,12.68329319,10.7,12.8,30.56147303,2.958091919,47357.0,52.18195837,107.0273543,68.68274772,10.67110196,21.35946194,22.72920251,0.337837838,51.38649923,40.09347949,24529.0,0.5107,0.7163,0.4756,0.2477,0.497,0.7943,0.3827,0.3795,0.8879,0.8083,0.5142,0.2951,0.3875,0.7784,0.1815,0.0739,0.8472,0.4543,0.3967,0.5059,30.28206607,71.56590164,2
Tazewell,Illinois,40.50753266,-89.51342674,135400,209.3106596,12.97728196,15.30132726,32.5,25.4,21.07699631,22.06649769,4.623842646,88.9993794,69.35479082,65386,12.2,13.92987134,241.3002839,8.533235671,1.245193188,1.190258195,78.71139215,9.616800999,11.14468501,12.4,9.3,28.09259076,3.231557342,61508.0,36.37299603,149.3246245,76.45798619,7.323954258,22.66716039,18.76473611,0.317846274,50.84940451,20.41818692,30700.0,0.0608,0.2588,0.1324,0.1063,0.0742,0.4683,0.5756,0.1445,0.3712,0.1913,0.1926,0.1936,0.1477,0.7128,0.0745,0.2569,0.3298,0.4947,0.1993,0.0716,32.48570243,76.17409836,0
Union,Illinois,37.47123876,-89.2551183,17458,42.22419598,16.72282027,16.92343091,37.2,28.9,18.97067244,27.98277983,7.252763669,91.4528103,58.66633979,7423,24.5,14.11764706,211.999152,11.66912851,2.34859675,0.960118168,76.09347484,11.68630925,12.69646945,10.2,11.7,30.685557,2.839800278,49716.0,61.41304348,76.29191702,77.61283551,9.475518935,21.02012945,21.35858916,0.474722565,49.89014904,65.86927224,24296.0,0.4858,0.4241,0.4963,0.5861,0.5113,0.7109,0.2824,0.689,0.4015,0.5552,0.3212,0.3967,0.3311,0.4963,0.6663,0.6393,0.3814,0.6794,0.68,0.5279,35.84127273,77.77278689,2
Vermilion,Illinois,40.18345022,-87.73284619,79613,88.61958079,17.94663511,17.67373955,40.9,31.5,18.97343856,47.58180943,6.462568211,83.15611608,50.60471734,33578,29.5,14.76081069,704.7315858,12.17501585,1.42675967,0.824350032,74.92424163,11.86826744,12.86267257,16.5,14.7,32.21226366,2.653844504,44638.0,59.2393453,160.2517682,69.15651058,11.13036524,23.55284743,19.34223889,0.715211902,50.23696065,31.25635528,22733.0,0.7405,0.8259,0.6205,0.5002,0.7179,0.5119,0.7023,0.5005,0.8746,0.8752,0.5836,0.4706,0.5298,0.7603,0.2346,0.3308,0.9064,0.702,0.7233,0.7953,34.78398526,74.84862069,1
Wabash,Illinois,38.4460344,-87.84450832,11587,51.9005991,15.01181025,15.8928839,35.4,22.1,19.62958477,31.63126977,5.981595092,76.9,63.40344168,5728,18.8,20.01914875,156.5081297,9.494324045,1.444788442,1.547987616,80.07501315,10.75225029,11.98653104,12.4,10.7,29.41225622,3.024103314,53414.0,50.70943862,123.4303639,76.32761438,7.50802139,22.55606546,20.66845614,0.645637336,49.57139146,38.89679417,24697.0,0.263,0.7291,0.4655,0.3438,0.4444,0.659,0.397,0.7195,0.1936,0.4489,0.1286,0.4199,0.2356,0.7727,0.489,0.3515,0.6934,0.0914,0.4266,0.3617,35.58872727,76.14131148,2
Warren,Illinois,40.84882236,-90.61501176,17611,32.46834901,15.99009272,15.12656684,26.1,26.6,19.87809186,18.63841475,7.731520816,93.92636139,60.50288109,8691,17.2,11.65025922,230.6640848,10.05873715,3.010279002,0.881057269,78.82159516,10.7907539,11.89684195,17.5,9.8,31.26403194,2.884541017,53532.0,67.30480481,24.08248151,75.53064275,7.601061339,21.92343823,19.53381869,1.728379875,50.69868483,45.47918902,23350.0,0.4858,0.6714,0.5718,0.5002,0.5794,0.6049,0.4483,0.2203,0.4521,0.2773,0.49,0.8274,0.6896,0.5247,0.1751,0.7899,0.4537,0.873,0.6552,0.6017,32.28224788,74.01147541,2
Washington,Illinois,38.35217318,-89.41045417,14369,25.54157189,13.61886952,14.89822675,28.4,29.5,20.8006877,22.6068527,5.336074365,92.07762712,73.63940407,9625,10.5,24.94654312,331.5912777,9.208261618,1.549053356,0.499139415,78.99539092,9.78423685,11.1840459,10.7,8.5,29.64713643,3.077669859,66937.0,37.9049676,50.46798349,78.66108787,7.817990162,21.38620936,20.11432655,0.358556809,50.06788139,73.64773036,29548.0,0.219,0.3018,0.1751,0.2477,0.191,0.6243,0.3266,0.2114,0.2346,0.1226,0.0697,0.3069,0.1407,0.277,0.5116,0.3566,0.0497,0.4594,0.1321,0.0713,35.56163636,77.1042623,0
Wayne,Illinois,38.42957814,-88.42563348,16517,23.13909093,15.30847271,16.05691583,31.1,26.3,18.99280769,37.27272727,6.68368531,80.07116477,63.39407125,6949,21.0,23.64352834,283.0674215,8.742004264,1.620469083,1.421464108,77.97187153,11.13483441,12.3554691,14.0,12.0,30.19029818,3.109000636,50471.0,43.6011304,72.33346298,76.32508834,6.482307464,22.7038942,21.53441097,0.782968811,50.79598335,69.93436754,24342.0,0.4947,0.2719,0.4916,0.5002,0.4323,0.7469,0.5107,0.6606,0.206,0.5912,0.0535,0.4397,0.2073,0.4091,0.8348,0.4011,0.5339,0.043,0.3391,0.3419,35.57818182,76.1904918,2
White,Illinois,38.0874217,-88.17955296,14410,29.12485704,15.07947709,15.98955568,29.4,21.3,19.10166535,47.50687083,6.081018732,92.19399076,65.0,6685,19.3,27.98105898,278.3576896,9.862570736,1.455133387,0.970088925,75.4130456,10.92045143,12.29966693,4.8,10.8,29.29832903,2.870448276,49507.0,56.0677699,110.9221138,77.90200592,9.048117155,21.86608123,21.60995243,0.438895195,50.73545554,62.0320491,25065.0,0.3906,0.7163,0.4438,0.4664,0.5189,0.8507,0.3967,0.8141,0.4801,0.8555,0.0401,0.4308,0.1945,0.2181,0.5807,0.3464,0.766,0.6275,0.5008,0.5119,35.69890909,76.33672131,2
Whiteside,Illinois,41.75628031,-89.91411599,57155,83.52946881,14.5412921,15.23500527,33.5,26.0,19.77343864,29.44054804,5.978433238,87.54533234,61.70503945,28466,17.1,15.32485121,190.9600245,10.1871544,1.276052744,0.723096555,78.02810672,10.27421476,11.56289906,10.3,8.8,29.33364385,3.149111162,57197.0,50.1602387,106.5900895,75.18632742,8.643815201,21.93218998,20.85355769,1.002199951,50.44044152,37.34315703,26155.0,0.2321,0.4957,0.362,0.3973,0.3429,0.659,0.5272,0.5005,0.5116,0.6472,0.4881,0.5068,0.4973,0.6794,0.1566,0.2697,0.7049,0.467,0.3639,0.4024,30.62279334,74.67377049,2
Will,Illinois,41.44502926,-87.97856177,685378,818.9147423,14.6175548,13.07046548,31.8,22.8,20.83845236,12.88129478,6.262618166,91.3453705,69.06360023,357226,8.6,6.886485597,162.8617623,14.71817212,1.955903272,0.597884068,79.73978934,9.342765439,10.622888,9.7,7.2,31.47671802,3.015086818,86108.0,37.27676032,236.9417677,81.04218602,12.34859147,24.86501712,13.05860092,3.233019544,50.37613208,3.929393707,32311.0,0.0551,0.4957,0.093,0.2416,0.1738,0.057,0.9045,0.0318,0.5107,0.1646,0.7514,0.8558,0.859,0.7501,0.0509,0.5218,0.1624,0.2725,0.1614,0.2209,33.25461152,75.58065574,3
Williamson,Illinois,37.73025754,-88.92992682,67336,160.2571383,15.46163892,16.09802579,26.9,28.8,19.61996744,31.85883104,5.385702176,83.93264033,67.19588938,31873,20.0,18.86288023,63.02289307,10.5578435,1.08573568,0.580307001,76.93773234,10.63542807,11.91498894,12.6,12.0,31.48353045,3.112893169,46187.0,49.92740296,101.7673202,69.87707187,11.63413701,21.84591983,18.95878072,0.676006507,50.31167979,34.79813735,25238.0,0.4508,0.6078,0.4263,0.2837,0.4365,0.5237,0.3992,0.6253,0.6087,0.616,0.3496,0.3426,0.313,0.4874,0.4015,0.1897,0.6425,0.6676,0.4234,0.4091,35.81054545,76.37606557,2
Winnebago,Illinois,42.33626415,-89.16084976,288896,562.7132007,18.42355788,17.02951657,33.3,24.7,19.81697658,28.99843506,7.397314444,79.38202301,59.78178273,141196,27.2,10.07802569,887.4964157,15.48993876,1.942257218,1.255468067,76.74425866,12.14568978,12.26207205,10.5,12.7,36.04682051,2.845209341,53795.0,48.38745651,271.146209,65.74410163,13.34020526,23.40529638,17.53689969,2.229695971,51.19877781,7.914219721,26187.0,0.4858,0.8742,0.3591,0.489,0.5734,0.3225,0.6963,0.3445,0.9105,0.7001,0.6937,0.8032,0.7975,0.8217,0.063,0.5202,0.788,0.3467,0.5018,0.6743,30.93515698,75.03737705,1
Woodford,Illinois,40.78823179,-89.21114894,39123,74.1231113,12.50845768,13.56310834,27.1,23.2,21.61336407,11.66984935,4.494453249,94.05287449,74.70224462,19161,7.7,14.71879358,73.28965868,9.075224293,0.890269151,0.855762595,79.98824413,9.234024161,10.68349349,11.8,7.9,28.22743845,3.403570601,72247.0,25.55842577,39.54995242,81.94425374,8.296026861,24.04388633,18.09531238,0.08783246,50.1104958,54.88568177,32360.0,0.0551,0.2837,0.092,0.0548,0.0519,0.3999,0.8144,0.0503,0.1595,0.1324,0.1,0.0853,0.0525,0.3836,0.1296,0.135,0.2939,0.6371,0.1035,0.0245,32.06315698,75.47803279,0
